isoform__,,,,EVENT__,,,,junction__,,
,RMSE based the Quartet reference datasets,RMSE based theRT-qPCR reference datasets,,,PCC based the Quartet reference datasets,PCC based theRT-qPCR reference datasets,,,annotated junction F1__,novel FN_
lab01,0.348933639,0.698511569,,lab01,0.250355727,0.539777579,,lab01,0.979445187,0.353174718
lab03,0.376859535,0.597486414,,lab03,0.200351194,0.563581678,,lab03,0.9745096,0.345118382
lab04,0.401082309,0.629702809,,lab04,0.191422725,0.421130068,,lab04,0.974819733,0.347378793
lab05,0.372105539,0.810641771,,lab05,0.221098166,0.369489487,,lab05,0.975541711,0.405077231
lab06,0.512657285,0.852901239,,lab06,0.151070896,0.50365278,,lab06,0.975137573,0.418741125
lab07,0.616486691,1.131571683,,lab07,0.160165498,0.373741865,,lab07,0.962273385,0.562784363
lab08,0.389896707,0.751034896,,lab08,0.186574553,0.574074153,,lab08,0.970655769,0.46112383
lab09,0.883777087,1.134708689,,lab09,0.183514463,0.344441878,,lab09,0.943780798,0.710812299
lab10,0.39452766,0.698810173,,lab10,0.209239894,0.488278123,,lab10,0.973066095,0.430347466
lab11,0.375790005,0.766845478,,lab11,0.206535265,0.404843624,,lab11,0.969228172,0.51864839
lab12,0.410302199,0.691926029,,lab12,0.221862036,0.456770486,,lab12,0.974058403,0.389008027
lab13,0.346239701,0.687582309,,lab13,0.233638,0.565171045,,lab13,0.980230077,0.312110586
lab14,0.350227475,0.706631309,,lab14,0.230198241,0.497088377,,lab14,0.978805912,0.284261164
lab15,0.547856231,1.135413607,,lab15,0.19846736,0.325906015,,lab15,0.958761894,0.589662967
lab16,0.392851847,0.764726358,,lab16,0.22373886,0.370620736,,lab16,0.963585493,0.432781754
lab17,0.552558254,0.99684794,,lab17,0.156155715,0.337428359,,lab17,0.959061961,0.589938273
lab18,1.480980862,1.905523104,,lab18,0.121997718,0.39432475,,lab18,0.955142114,0.608340337
lab19,0.367797161,0.754594027,,lab19,0.194446928,0.495293838,,lab19,0.973753171,0.422030313
lab20,0.384202814,0.782366269,,lab20,0.207733064,0.502282896,,lab20,0.975963052,0.410945605
lab21,0.374089345,0.617066661,,lab21,0.203401335,0.545421415,,lab21,0.979882492,0.335743472
lab22,0.40114443,0.72886513,,lab22,0.170513032,0.446463959,,lab22,0.969828399,0.505868375
lab23,0.456852795,0.767753394,,lab23,0.168919133,0.321974289,,lab23,0.965346691,0.545961689
lab24,0.426835976,0.654890129,,lab24,0.210538782,0.5064287,,lab24,0.961745211,0.301953227
lab27,0.483141527,0.993549204,,lab27,0.177048123,0.421811681,,lab27,0.956590607,0.58946011
lab28,0.387881149,0.603155509,,lab28,0.185184098,0.405919737,,lab28,0.955176223,0.298200365
lab29,0.403995294,0.721436506,,lab29,0.220880621,0.447436396,,lab29,0.970006529,0.460805054
lab30,0.344983994,0.686827436,,lab30,0.241496095,0.553342005,,lab30,0.980408045,0.302300982
lab31,0.424623154,0.630145652,,lab31,0.211648515,0.599726789,,lab31,0.976169736,0.324716724
lab32,0.460869761,0.808990643,,lab32,0.19360416,0.111334811,,lab32,0.970521974,0.490741009
lab33,0.431020922,0.581296563,,lab33,0.234051379,0.500717868,,lab33,0.978044284,0.307560785
lab34,0.399499278,0.785636512,,lab34,0.184670446,0.460983846,,lab34,0.967509944,0.524980439
lab35,0.346030481,0.668722878,,lab35,0.240478255,0.545118787,,lab35,0.981017055,0.285724636
lab36,0.450456883,0.590473118,,lab36,0.218490464,0.575426467,,lab36,0.972804893,0.322267946
lab37,0.348421303,0.900252004,,lab37,0.144289141,0.426324719,,lab37,0.958672404,0.577534993
lab38,0.617920908,1.452643298,,lab38,0.136903897,0.294181778,,lab38,0.927506529,0.724519663
lab39,0.461114669,0.773270544,,lab39,0.212855749,0.455342582,,lab39,0.9784123,0.368664329
lab40,0.620280648,1.254795466,,lab40,0.163205702,0.376849121,,lab40,0.955163219,0.622018721
lab41,0.425749713,1.077855848,,lab41,0.207983677,0.374179014,,lab41,0.960284795,0.577549483
lab42,0.357094795,0.624338043,,lab42,0.22568724,0.521115489,,lab42,0.97863727,0.312675689
lab43,0.377397134,0.726430793,,lab43,0.206201821,0.49497049,,lab43,0.971942704,0.469759759
lab44,0.406942163,0.787731803,,lab44,0.214246509,0.423315136,,lab44,0.971129549,0.45802301
lab45,0.534295564,1.036770684,,lab45,0.131703772,0.448984177,,lab45,0.952986132,0.636479555
